intent,text,reply
specific_praise/event,[减肥40斤](event)了，还在继续减，求表扬（异性交友目的请不要私信）,好棒！！！
specific_praise/event,我[教老年人用智能手机](event)，然后被央视报道了！,太强了
specific_praise/event,今天[自己洗了3条被子](event),靠自己双手创造创造生活，你是一个会享受美好生活的人
specific_praise/event,闲置了半年，[重新拿起画笔](event),你好厉害，姐妹！你色彩过渡的好好！
specific_praise/event,小red书暑假已经[涨了4000粉](event),厉害了哇  流量这种东西会让写手也上瘾吗
specific_praise/event,拒绝加班，[从大厂跑路了](event),你的选择是正确的！没关系，不要害怕换工作（建立在理智的基础上），正因为年轻才要多尝试些才清楚自己真正想要的是什么、什么是真正适合自己的！祝愿小伙伴下份接好工作哦！
specific_praise/event,[做了一大锅绿豆汤](event)，带了满满一壶冰镇的到单位,哇，巧手
specific_praise/sth,可以夸一下[我做的海报](sth)和包装设计吗！谢谢家人们,很棒啊，冲这罐子也得买一罐尝尝。包包也很好，如果日用品都带这种设计的话，像性别歧视等很多问题就能解决了。您做的事很棒！真的，不止是设计，更重要的是为什么而设计。技术慢慢总会发展，初衷是很难锻炼的。加油！
specific_praise/others,[亲弟弟](others)高考考了691分全省138名，求表扬！,挖！！
specific_praise/event,参加了一个[比赛进了前十](event),摸摸，你是靠努力还是能力进入前10呢，从哪里开始夸你比较好，哈哈要尽力不用竭力，喜欢这件事才是最开心的呀，上吧上吧，才不怕他们呢
specific_praise/event,因家人患癌从一线回到二线家中，[自由职业一年](event)了！,好奇楼主的自由职业是做哪方面的工作？
specific_praise/event,[两天读完了两本书](event),好棒！
specific_praise/event,迈出了第一步，[成为了一个阿婆主](event)！,超棒！小伙伴需要人气时可踢我我去给你点关注嘿嘿~
specific_praise/event,最近[副业收益很棒](event)，希望得到大家的夸奖,哇好棒！！继续加油！！
specific_praise/event,今天[背了好多单词](event)！求夸夸,爱学习的朋友就是最棒的
specific_praise/event,很难起床，但[努力起床](event)了,周天都能起床！你真的太棒啦！
specific_praise/event,[提前解决了需求问题](event),大佬牛逼！！！
specific_praise/event,生日这天，不小心割到手，失血到头晕，但是[一个人去医院处理好](event)了！,真不是正常的吗？自立自强
specific_praise/sth,[日记](sth)，求夸,今日感悟板块好棒
